,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
3845,COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS NA CAIXA ECONÔMICA FEDERAL NO ESTADO DE SÃO PAULO - APCEFCREDI-SP,7814673.0,b3S,I,2.0,SAO PAULO,SP,09/2017,Não,Sim,Sim,700,NI,01/2017,S5,
3846,COOPERATIVA DE CRÉDITO DOS LOJISTAS DO DISTRITO FEDERAL - SICOOB CREDILOJISTA,7836458.0,b3S,I,2.0,BRASILIA,DF,09/2017,Não,Sim,Sim,55.410,NI,01/2017,S5,
3847,COOPERATIVA DE CRÉDITO RURAL DE OURO   SULCREDI/OURO,7853842.0,b3S,I,2.0,OURO,SC,09/2017,Não,Sim,Sim,39.234,NI,01/2017,S5,
3848,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE GRANDES RIOS - CRESOL GRANDES RIOS,7925729.0,b3S,I,2.0,GRANDES RIOS,PR,09/2017,Não,Sim,Sim,78.816,NI,01/2017,S5,
3849,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE NOVA ESPERANÇA DO SUDOESTE - CRESOL NOVA ESPERANÇA DO SUDOESTE,7926510.0,b3S,I,2.0,NOVA ESPERANCA DO SUDOESTE,PR,09/2017,Não,Sim,Sim,21.020,NI,01/2017,S5,
3850,COOPERATIVA DE CRÉDITO MÚTUO DOS MICRO E PEQUENOS EMPRESÁRIOS E MICROEMPREENDEDORES DO GRANDE ABC - SICOOB GRANDE ABC.,7946216.0,b3S,I,2.0,SANTO ANDRE,SP,09/2017,Não,Sim,Sim,19.749,NI,01/2017,S5,
3851,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TANGARÁ - CRESOL TANGARÁ,7946451.0,b3S,I,2.0,TANGARA,SC,09/2017,Não,Sim,Sim,32.907,NI,01/2017,S5,
3852,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE RIO FORTUNA - CRESOL RIO FORTUNA,7958405.0,b3S,I,2.0,RIO FORTUNA,SC,09/2017,Não,Sim,Sim,37.114,NI,01/2017,S5,
3853,COOPERATIVA DE CRÉDITO MÚTUO DOS CORRETORES DE SEGUROS DO ESTADO DE SÃO PAULO - SICOOB CREDICOR/SP,8030602.0,b3S,I,2.0,SAO PAULO,SP,09/2017,Não,Sim,Sim,27.556,NI,01/2017,S5,
3854,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MAGISTRADOS, MEMBROS DO MINISTÉRIO PÚBLICO, DEFENSORES PÚBLICOS E SERVIDORES DO PODER JUDICIÁRIO NO ESTADO DO CEARÁ - SICREDI COOPERJURIS",8041950.0,b3S,I,2.0,FORTALEZA,CE,09/2017,Não,Sim,Sim,27.132,NI,01/2017,S5,
3855,COOPERATIVA DE CREDITO DO CENTRO DO ESTADO DE RONDONIA ? SICOOB CENTRO,8044854.0,b3S,I,2.0,JI-PARANA,RO,09/2017,Não,Sim,Sim,236.137,NI,01/2017,S5,
3856,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE XAVANTINA - CRESOL XAVANTINA,8055016.0,b3S,I,2.0,XAVANTINA,SC,09/2017,Não,Sim,Sim,56.354,NI,01/2017,S5,
3857,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE RIBEIRÃO PRETO E REGIÃO - SICOOB COOPERAC,8071414.0,b3S,I,2.0,RIBEIRAO PRETO,SP,09/2017,Não,Sim,Sim,43.072,NI,01/2017,S5,
3858,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE TRANSPORTES DOS ESTADOS DE SANTA CATARINA E RIO GRANDE DO SUL - TRANSPOCRED,8075352.0,b3S,I,2.0,FLORIANOPOLIS,SC,09/2017,Não,Sim,Sim,161.627,NI,01/2017,S5,
3859,COOPERATIVA DE CRÉDITO DOS MÉDICOS E PROFISSIONAIS DE SAÚDE DE SÃO LUÍS - SICREDI SÃO LUÍS,8143326.0,b3S,I,2.0,SAO LUIS,MA,09/2017,Não,Sim,Sim,17.095,NI,01/2017,S5,
3860,COOPERATIVA DE CRÉDITO RURAL DO AGRESTE CENTRAL ALAGOANO LTDA. - COOPCRAL,8202793.0,b3S,I,2.0,ARAPIRACA,AL,09/2017,Não,Sim,Sim,1.133,NI,01/2017,S5,
3861,COOPERATIVA DE CRÉDITO MÚTUO DOS TRABALHADORES DO SETOR AEROESPACIAL DE SÃO JOSE DOS CAMPOS - COSAE,8227676.0,b3S,I,2.0,SAO JOSE DOS CAMPOS,SP,09/2017,Não,Sim,Sim,3.938,NI,01/2017,S5,
3862,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM,8240446.0,b3S,I,2.0,IBIAM,SC,09/2017,Não,Sim,Sim,10.326,NI,01/2017,S5,
3863,COOPERATIVA DE CRÉDITO RURAL DE SÃO MIGUEL DO OESTE - SULCREDI/SÃO MIGUEL,8253539.0,b3S,I,2.0,SAO MIGUEL D'OESTE,SC,09/2017,Não,Sim,Sim,36.039,NI,01/2017,S5,
3864,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU,8297831.0,b3S,I,2.0,BOTUVERA,SC,09/2017,Não,Sim,Sim,84.486,NI,01/2017,S5,
3865,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SCHROEDER - CRESOL SCHROEDER,8387258.0,b3S,I,2.0,SCHROEDER,SC,09/2017,Não,Sim,Sim,64.676,NI,01/2017,S5,
3866,COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE,8482873.0,b3S,I,2.0,IGACI,AL,09/2017,Não,Sim,Sim,2.349,NI,01/2017,S5,
3867,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE GUARANI DAS MISSÕES - CRESOL GUARANI DAS MISSÕES,8488377.0,b3S,I,2.0,GUARANI DAS MISSOES,RS,09/2017,Não,Sim,Sim,43.333,NI,01/2017,S5,
3868,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA TRIUNFO - CRESOL TRIUNFO,8560508.0,b3S,I,2.0,SAO JOAO DO TRIUNFO,PR,09/2017,Não,Sim,Sim,65.833,NI,01/2017,S5,
3869,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE UNIÃO DOS PLANALTOS - CRESOL UNIÃO DOS PLANALTOS,8597482.0,b3S,I,2.0,LAPA,PR,09/2017,Não,Sim,Sim,34.430,NI,01/2017,S5,
3870,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DA REGIÃO SUDESTE DE MINAS GERAIS - CRESOL SUDESTE DE MINAS,8624548.0,b3S,I,2.0,FERVEDOURO,MG,09/2017,Não,Sim,Sim,46.191,NI,01/2017,S5,
3871,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CORONEL FREITAS - CRESOL CORONEL FREITAS,8647473.0,b3S,I,2.0,CORONEL FREITAS,SC,09/2017,Não,Sim,Sim,16.353,NI,01/2017,S5,
3872,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTA TEREZINHA DO PROGRESSO - CRESOL SANTA TEREZINHA DO PROGRESSO,8652872.0,b3S,I,2.0,SANTA TEREZINHA DO PROGRESSO,SC,09/2017,Não,Sim,Sim,11.179,NI,01/2017,S5,
3873,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO,8742188.0,b3S,I,2.0,CUIABA,MT,09/2017,Não,Sim,Sim,85.816,NI,01/2017,S5,
3874,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE LEME - SICOOB CREDIACIL,8795285.0,b3S,I,2.0,LEME,SP,09/2017,Não,Sim,Sim,60.403,NI,01/2017,S5,
3875,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TIRADENTES DO SUL - CRESOL TIRADENTES DO SUL,8805562.0,b3S,I,2.0,TIRADENTES DO SUL,RS,09/2017,Não,Sim,Sim,15.531,NI,01/2017,S5,
3876,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ENÉAS MARQUES - CRESOL ENÉAS MARQUES,8812388.0,b3S,I,2.0,ENEAS MARQUES,PR,09/2017,Não,Sim,Sim,27.565,NI,01/2017,S5,
3877,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE ITAPETININGA - SICOOB CRED-ACI,8844074.0,b3S,I,2.0,ITAPETININGA,SP,09/2017,Não,Sim,Sim,23.196,NI,01/2017,S5,
3878,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CENTRAIS ELÉTRICAS DE SANTA CATARINA - CREDELESC,8850613.0,b3S,I,2.0,FLORIANOPOLIS,SC,09/2017,Não,Sim,Sim,26.044,NI,01/2017,S5,
3879,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ALCOA EM PERNAMBUCO,8931800.0,b3S,I,2.0,ITAPISSUMA,PE,09/2017,Não,Sim,Sim,2.103,NI,01/2017,S5,
3880,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE PRESIDENTE VENCESLAU - SICOOB CREDIACIPREV,8937938.0,b3S,I,2.0,PRESIDENTE VENCESLAU,SP,09/2017,Não,Sim,Sim,8.774,NI,01/2017,S5,
3881,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE LENÇÓIS PAULISTA - SICOOB CRED-ACILPA,9004796.0,b3S,I,2.0,LENCOIS PAULISTA,SP,09/2017,Não,Sim,Sim,11.187,NI,01/2017,S5,
3882,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE RIO VERDE E REGIÃO LTDA.,9033698.0,b3S,I,2.0,RIO VERDE,GO,09/2017,Não,Sim,Sim,61.576,NI,01/2017,S5,
3883,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA NAKATA,9128022.0,b3S,I,2.0,OSASCO,SP,09/2017,Não,Sim,Sim,2.757,NI,01/2017,S5,
3884,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS ENGENHEIROS, ARQUITETOS, AGRÔNOMOS E AFINS DO ESTADO DO RIO GRANDE DO SUL",9187555.0,b3S,I,2.0,PORTO ALEGRE,RS,09/2017,Não,Sim,Sim,7.570,NI,01/2017,S5,
3885,COOPERATIVA DE CRÉDITO RURAL ASCOOB COOPEC - ASCOOB COOPEC,9244973.0,b3S,I,2.0,POCO VERDE,SE,09/2017,Não,Sim,Sim,1.077,NI,01/2017,S5,
3886,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TREZE DE MAIO - CRESOL TREZE DE MAIO,9330158.0,b3S,I,2.0,TREZE DE MAIO,SC,09/2017,Não,Sim,Sim,24.534,NI,01/2017,S5,
3887,COOPERATIVA DE CRÉDITO SICREDI ALTO SERTÃO PARAIBANO - SICREDI ALTO SERTÃO PARAIBANO,9343038.0,b3S,I,2.0,SOUSA,PB,09/2017,Não,Sim,Sim,58.595,NI,01/2017,S5,
3888,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO LESTE MARANHENSE   SICOOB CENTRO LESTE MARANHENSE,9403026.0,b3S,I,2.0,GRAJAU,MA,09/2017,Não,Sim,Sim,68.162,NI,01/2017,S5,
3889,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE,9424988.0,b3S,I,2.0,ACAILANDIA,MA,09/2017,Não,Sim,Sim,47.501,NI,01/2017,S5,
3890,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IRINEÓPOLIS - CRESOL IRINEÓPOLIS,9433005.0,b3S,I,2.0,IRINEOPOLIS,SC,09/2017,Não,Sim,Sim,10.437,NI,01/2017,S5,
3891,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE JACINTO MACHADO - CRESOL JACINTO MACHADO,9463721.0,b3S,I,2.0,JACINTO MACHADO,SC,09/2017,Não,Sim,Sim,16.395,NI,01/2017,S5,
3892,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CAPÃO BONITO - CRESOL CAPÃO BONITO,9476168.0,b3S,I,2.0,CAPAO BONITO,SP,09/2017,Não,Sim,Sim,34.957,NI,01/2017,S5,
3893,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SÃO JOÃO DO SUL - CRESOL SÃO JOÃO DO SUL,9488496.0,b3S,I,2.0,SAO JOAO DO SUL,SC,09/2017,Não,Sim,Sim,18.635,NI,01/2017,S5,
3894,COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ,9512539.0,b3S,I,2.0,ITAJAI,SC,09/2017,Não,Sim,Sim,133.302,NI,01/2017,S5,
3895,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE RIO CLARO - SICOOB CREDIACIRC,9527069.0,b3S,I,2.0,RIO CLARO,SP,09/2017,Não,Sim,Sim,42.265,NI,01/2017,S5,
3896,"COOPERATIVA DE CRÉDITO DOS MAGISTRADOS, SERVIDORES DA JUSTIÇA DO ESTADO DE GOIÁS E EMPREGADOS DA CELG LTDA.",9552111.0,b3S,I,2.0,GOIANIA,GO,09/2017,Não,Sim,Sim,83.983,NI,01/2017,S5,
3897,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO OESTE DE GOIÁS – SICREDI CENTRO OESTE GO",9576038.0,b3S,I,2.0,GOIANIA,GO,09/2017,Não,Sim,Sim,32.978,NI,01/2017,S5,
3898,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CERES E RIALMA LTDA,9576849.0,b3S,I,2.0,CERES,GO,09/2017,Não,Sim,Sim,50.527,NI,01/2017,S5,
3899,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE AMERICANA, LIMEIRA E REGIÃO - SICOOB ACICRED",9579249.0,b3S,I,2.0,AMERICANA,SP,09/2017,Não,Sim,Sim,31.894,NI,01/2017,S5,
3900,COOPERATIVA DE CRÉDITO DA SERRA CATARINENSE - CREDICOMIN,9590601.0,b3S,I,2.0,LAGES,SC,09/2017,Não,Sim,Sim,49.061,NI,01/2017,S5,
3901,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE PRAIA GRANDE E REGIÃO - SICOOB COOPERACE,9639338.0,b3S,I,2.0,PRAIA GRANDE,SP,09/2017,Não,Sim,Sim,27.532,NI,01/2017,S5,
3902,COOPERATIVA CENTRAL DE CRÉDITO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA - ASCOOB CENTRAL,10013534.0,b3C,I,2.0,SERRINHA,BA,09/2017,Não,Sim,Sim,9.103,NI,01/2017,S5,
3903,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.,10143499.0,b3S,I,2.0,JATAI,GO,09/2017,Não,Sim,Sim,26.730,NI,01/2017,S5,
3904,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE GUARAMIRIM - CREVISC,10143743.0,b3S,I,2.0,GUARAMIRIM,SC,09/2017,Não,Sim,Sim,51.518,NI,01/2017,S5,
3905,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE SOROCABA E REGIÃO – SICOOB COOPERASO,10175348.0,b3S,I,2.0,SOROCABA,SP,09/2017,Não,Sim,Sim,20.709,NI,01/2017,S5,
3906,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE GOIÂNIA LTDA.,10209619.0,b3S,I,2.0,GOIANIA,GO,09/2017,Não,Sim,Sim,33.849,NI,01/2017,S5,
3907,COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - SCRCRED,10218474.0,b3S,I,2.0,SAO BENTO DO SUL,SC,09/2017,Não,Sim,Sim,126.696,NI,01/2017,S5,
3908,COOPERATIVA DE POUPANCA E CRÉDITO MÚTUO DOS EMPRESÁRIOS E PROFISSIONAIS LIBERAIS DO OESTE PAULISTA - SICOOB PAULISTA,10262276.0,b3S,I,2.0,PRESIDENTE PRUDENTE,SP,09/2017,Não,Sim,Sim,122.367,NI,01/2017,S5,
3909,COOPERATIVA DE CRÉDITO DA REGIÃO DO SUDOESTE DO PARANÁ - RODOCRÉDITO,10311218.0,b3S,I,2.0,FRANCISCO BELTRAO,PR,09/2017,Não,Sim,Sim,85.171,NI,01/2017,S5,
3910,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DA GRANDE DOURADOS - SICOOB DOURADOS,10319386.0,b3S,I,2.0,DOURADOS,MS,09/2017,Não,Sim,Sim,50.505,NI,01/2017,S5,
3911,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE POUSO REDONDO - CRESOL POUSO REDONDO,10453077.0,b3S,I,2.0,POUSO REDONDO,SC,09/2017,Não,Sim,Sim,25.743,NI,01/2017,S5,
3912,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE RIO BRANCO DO SUL - CRESOL RIO BRANCO DO SUL,10512171.0,b3S,I,2.0,RIO BRANCO DO SUL,PR,09/2017,Não,Sim,Sim,9.607,NI,01/2017,S5,
3913,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE RONDÔNIA - CRESOL RONDÔNIA,10520232.0,b3S,I,2.0,JI-PARANA,RO,09/2017,Não,Sim,Sim,70.733,NI,01/2017,S5,
3914,COOPERATIVA DE CRÉDITO DE SERVIDORES DA UESC - UESCOOP,10548608.0,b3S,I,2.0,ILHEUS,BA,09/2017,Não,Sim,Sim,NI,NI,01/2017,S5,
3915,"COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICA E MATERIAL ELÉTRICO DE SÃO LEOPOLDO E REGIÃO - COOPERMETAL",10719496.0,b3S,I,2.0,SAO LEOPOLDO,RS,09/2017,Não,Sim,Sim,NI,NI,01/2017,S5,
3916,COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DE MANAUS - SICOOB CREDEMPRESAS-AM,10808037.0,b3S,I,2.0,MANAUS,AM,09/2017,Não,Sim,Sim,10.952,NI,01/2017,S5,
3917,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO LITORAL NORTE DO RIO GRANDE DO SUL   CRESOL COOPERSLIN,11051952.0,b3S,I,2.0,TORRES,RS,09/2017,Não,Sim,Sim,1.391,NI,01/2017,S5,
3918,"COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DA PERPART, DO IPA E DA ADAGRO - COOPEMATER",11356599.0,b3S,I,2.0,RECIFE,PE,09/2017,Não,Sim,Sim,3.738,NI,01/2017,S5,
3919,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA NOROESTE - CRESOL NOROESTE,11453724.0,b3S,I,2.0,ALTO PARANA,PR,09/2017,Não,Sim,Sim,34.295,NI,01/2017,S5,
3920,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SICOOB ECOCREDI,11565109.0,b3S,I,2.0,TRES COROAS,RS,09/2017,Não,Sim,Sim,290.567,NI,01/2017,S5,
3921,"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NOS MUNICÍPIOS DA REGIÃO DA BORBOREMA E AGRESTE DA PARAÍBA, SERVIDORES DO INSS/PB E EMPRESÁRIOS DA REGIÃO METROPOLITANA DE PATOS – SICOOB PARAÍBA",11907520.0,b3S,I,2.0,CAMPINA GRANDE,PB,09/2017,Não,Sim,Sim,194.503,NI,01/2017,S5,
3922,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SÃO MIGUEL DO IGUAÇU - CRESOL SÃO MIGUEL DO IGUAÇU,11969853.0,b3S,I,2.0,SAO MIGUEL DO IGUACU,PR,09/2017,Não,Sim,Sim,60.819,NI,01/2017,S5,
3923,COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DE ALAGOAS,12272183.0,b3S,I,2.0,MACEIO,AL,09/2017,Não,Sim,Sim,21.083,NI,01/2017,S5,
3924,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JARAGUÁ DO SUL E REGIÃO - SICOOB CEJASCRED,12384953.0,b3S,I,2.0,JARAGUA DO SUL,SC,09/2017,Não,Sim,Sim,49.393,NI,01/2017,S5,
3925,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SÃO JOÃO DO ITAPERIÚ   CRESOL SÃO JOÃO DO ITAPERIÚ,13059232.0,b3S,I,2.0,SAO JOAO DO ITAPERIU,SC,09/2017,Não,Sim,Sim,19.141,NI,01/2017,S5,
3926,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ESTADO DO AMAPÁ - SICOOB AMAPÁ,13517050.0,b3S,I,2.0,MACAPA,AP,09/2017,Não,Sim,Sim,19.013,NI,01/2017,S5,
3927,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA MARGEM ESQUERDA DO URUCUIA E SÃO FRANCISCO LTDA - SICOOB CREDICHAPADA,14046512.0,b3S,I,2.0,CHAPADA GAUCHA,MG,09/2017,Não,Sim,Sim,45.426,NI,01/2017,S5,
3928,"COOPERATIVA DE ECONOMIA E CRÉDITO DOS EMPRESÁRIOS, PROFISSIONAIS DO MERCADO IMOBILIÁRIO E DA CMI / SECOVI - SICOOB SECOVICRED MG",14913919.0,b3S,I,2.0,BELO HORIZONTE,MG,09/2017,Não,Sim,Sim,51.793,NI,01/2017,S5,
3929,COOPERATIVA DE CRÉDITO RURAL ILHÉUS LTDA,16348005.0,b3S,I,2.0,ILHEUS,BA,09/2017,Não,Sim,Sim,422,NI,01/2017,S5,
3930,"COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS APOSENTADOS, PENSIONISTAS E IDOSOS LIGADOS AO SINDICATO NACIONAL DOS APOSENTADOS, PENSIONISTAS E IDOSOS DA FORÇA SINDICAL - SICOOB COOPERNAPI",16564240.0,b3S,I,2.0,SAO PAULO,SP,09/2017,Não,Sim,Sim,8.461,NI,01/2017,S5,
3931,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE ITABIRA LTDA. - SICOOB COSEMI,16651002.0,b3S,I,2.0,ITABIRA,MG,09/2017,Não,Sim,Sim,8.190,NI,01/2017,S5,
3932,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA SECRETARIA DE ESTADO DA FAZENDA DE MINAS GERAIS E ÓRGÃOS OFICIAIS DO ESTADO DE MINAS GERAIS LTDA   SICOOB COOPSEF,16721078.0,b3S,I,2.0,BELO HORIZONTE,MG,09/2017,Não,Sim,Sim,199.546,NI,01/2017,S5,
3933,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE,16779741.0,b3S,I,2.0,IBIRAMA,SC,09/2017,Não,Sim,Sim,364.577,NI,01/2017,S5,
3934,COOPERATIVA DE CRÉDITO RURAL DE ECONOMIA SOLIDÁRIA DE CODAJÁS - CODCRED,17015842.0,b3S,I,2.0,CODAJAS,AM,09/2017,Não,Sim,Sim,1.053,NI,01/2017,S5,
3935,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA AÇO MINAS GERAIS S.A. - AÇOMINAS E EMPRESAS SUBSIDIÁRIAS EM OURO BRANCO LTDA. - COOPAÇO,17314501.0,b3S,I,2.0,OURO BRANCO,MG,09/2017,Não,Sim,Sim,15.647,NI,01/2017,S5,
3936,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE FREDERICO WESTPHALEN - CRESOL FREDERICO WESTPHALEN,17343510.0,b3S,I,2.0,FREDERICO WESTPHALEN,RS,09/2017,Não,Sim,Sim,52.711,NI,01/2017,S5,
3937,COOPERATIVA DE CRÉDITO DE SERVIDORES PÚBLICOS E TRABALHADORES DA REDE DE ENSINO DA REGIÃO E COLAR METROPOLITANO DO VALE DO AÇO LTDA. - SICOOB COSMIPA,17361536.0,b3S,I,2.0,IPATINGA,MG,09/2017,Não,Sim,Sim,74.221,NI,01/2017,S5,
3938,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS PLASCAR,17411307.0,b3S,I,2.0,JUNDIAI,SP,09/2017,Não,Sim,Sim,5.417,NI,01/2017,S5,
3939,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CEMIG E DAS INDÚSTRIAS METALÚRGICAS E DE MATERIAL ELÉTRICO E DOS SERVIDORES PÚBLICO MUNICIPAL DE JUIZ DE FORA LTDA. - SICOOB CECREMEC,17502881.0,b3S,I,2.0,BELO HORIZONTE,MG,09/2017,Não,Sim,Sim,10.456,NI,01/2017,S5,
3940,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA VALE FERTILIZANTES DE UBERABA - COPERURA LTDA.,17607375.0,b3S,I,2.0,UBERABA,MG,09/2017,Não,Sim,Sim,5.015,NI,01/2017,S5,
3941,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CBMM LTDA.,18140913.0,b3S,I,2.0,ARAXA,MG,09/2017,Não,Sim,Sim,22.439,NI,01/2017,S5,
3942,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS EM JOÃO MONLEVADE LTDA.,18310649.0,b3S,I,2.0,JOAO MONLEVADE,MG,09/2017,Não,Sim,Sim,11.616,NI,01/2017,S5,
3943,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA INDÚSTRIA DE PAPÉIS SUDESTE LTDA . - CREDESTE,18340695.0,b3S,I,2.0,JUIZ DE FORA,MG,09/2017,Não,Sim,Sim,691,NI,01/2017,S5,
3944,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE TRÊS PONTAS LTDA. - SICOOB COPERSUL,18966739.0,b3S,I,2.0,TRES PONTAS,MG,09/2017,Não,Sim,Sim,123.996,NI,01/2017,S5,
